code,prefecture,city_en,city_jp,pop_2025_m,pop_2025_f,pop_2025_total,under20_2015,under20_2016,under20_2017,under20_2018,under20_2019,under20_2020,under20_2021,under20_2022,under20_2023,under20_2024,under20_2025,under20_cagr_10y,age2039_2015,age2039_2016,age2039_2017,age2039_2018,age2039_2019,age2039_2020,age2039_2021,age2039_2022,age2039_2023,age2039_2024,age2039_2025,age2039_cagr_10y
113018,Saitama,Ina,北足立郡伊奈町,22698,22344,45042,9695,9713,9621,9492,9389,9198,8975,8805,8631,8352,8069,-0.02039314826361638,10509,10210,9919,9696,9434,9296,9222,9185,9286,9326,9459,-0.008453066098434214
113247,Saitama,Miyoshi,入間郡三芳町,18515,18862,37377,7155,7042,6963,6923,6844,6708,6609,6524,6320,6143,5981,-0.017981309854919414,8057,7763,7587,7504,7312,7168,7103,6938,6959,6901,6905,-0.012929362776260223
113263,Saitama,Moroyama,入間郡毛呂山町,15964,16079,32043,5418,5283,5164,4950,4811,4670,4451,4294,4119,3917,3737,-0.03773739297918499,7735,7373,7023,6723,6468,6278,6130,6069,5957,5929,5935,-0.023818167041386396
113271,Saitama,Ogose,入間郡越生町,5334,5423,10757,1801,1745,1672,1599,1530,1500,1430,1367,1301,1240,1195,-0.04119503366667432,2460,2285,2150,2100,2022,1967,1888,1846,1807,1725,1703,-0.03213614471409376
113417,Saitama,Namegawa,比企郡滑川町,10099,9658,19757,3627,3749,3797,3918,4057,4111,4136,4127,4085,4027,3957,0.006017703470091673,4448,4341,4328,4351,4356,4371,4398,4396,4381,4331,4268,-0.0018826037718178146
113425,Saitama,Arashiyama,比企郡嵐山町,8597,8731,17328,2806,2766,2737,2628,2584,2506,2412,2343,2287,2253,2123,-0.02896900888647891,3879,3754,3646,3572,3599,3523,3441,3360,3311,3284,3272,-0.015152967281819696
113433,Saitama,Ogawamachi,比企郡小川町,13697,13751,27448,4361,4161,3980,3813,3663,3507,3393,3251,3159,3001,2883,-0.03994944513954335,6286,5947,5702,5459,5237,4994,4704,4515,4355,4227,4083,-0.04092296166109921
113468,Saitama,Kawashima,比企郡川島町,9581,9090,18671,3290,3199,3121,3028,2941,2841,2722,2597,2483,2352,2242,-0.038726834969063484,4542,4330,4111,3971,3807,3606,3469,3299,3291,3163,3105,-0.03627608939674232
113476,Saitama,Yosimi,比企郡吉見町,8896,8724,17620,3088,2888,2748,2609,2514,2397,2288,2219,2144,2059,2003,-0.03984214314711243,4210,4009,3884,3776,3624,3492,3395,3234,3108,2967,2846,-0.03735416149824411
113484,Saitama,Hatoyama,比企郡鳩山町,6260,6522,12782,1740,1726,1670,1646,1587,1526,1474,1422,1370,1310,1250,-0.03521639762976192,2558,2425,2246,2157,2032,1938,1831,1795,1720,1674,1638,-0.04265845501111021
113492,Saitama,Tokigawa,比企郡ときがわ町,5177,5043,10220,1611,1549,1498,1471,1398,1333,1265,1246,1218,1170,1140,-0.033490923021570085,2273,2159,2065,1961,1855,1829,1745,1653,1596,1524,1464,-0.042245347173341385
113611,Saitama,Yokoze,秩父郡横瀬町,3772,3829,7601,1512,1443,1419,1385,1349,1307,1253,1203,1142,1117,1080,-0.031683144695411,1655,1638,1551,1495,1460,1426,1435,1393,1365,1330,1246,-0.02993583751936857
113620,Saitama,Minano,秩父郡皆野町,4419,4459,8878,1653,1607,1573,1512,1463,1417,1371,1324,1284,1213,1153,-0.03621698120166261,1869,1774,1688,1621,1595,1543,1508,1440,1414,1355,1308,-0.03329291140439061
113638,Saitama,Nagatoro,秩父郡長瀞町,3147,3220,6367,1182,1142,1100,1078,1037,998,951,921,863,812,751,-0.04550233492737066,1308,1229,1154,1117,1067,1035,968,928,917,871,882,-0.03619151644257956
113654,Saitama,Ogano,秩父郡小鹿野町,5005,5056,10061,2035,1930,1873,1799,1704,1631,1546,1453,1363,1270,1189,-0.052400223731554285,2285,2165,2053,1951,1864,1782,1685,1586,1491,1411,1328,-0.05285695413178848
113697,Saitama,Higashichichibu,秩父郡東秩父村,1209,1197,2406,403,376,357,330,307,280,267,247,228,210,191,-0.07249519294449447,528,502,483,453,435,409,384,377,346,327,306,-0.053516431386003926
113816,Saitama,Misato,児玉郡美里町,5404,5281,10685,1904,1856,1814,1802,1751,1738,1695,1672,1628,1575,1544,-0.020242010175827496,2499,2420,2298,2199,2134,2120,2069,1996,1955,1935,1904,-0.026293760166645308
113832,Saitama,Kamikawa,児玉郡神川町,6536,6223,12759,2451,2356,2298,2250,2157,2075,1971,1880,1803,1731,1661,-0.03809384176247066,3051,2959,2860,2778,2702,2615,2586,2514,2561,2459,2422,-0.022005134243250568
113859,Saitama,Kamisato,児玉郡上里町,15233,15297,30530,6103,5985,5842,5740,5602,5457,5348,5165,4975,4853,4746,-0.02544340596762562,7405,7119,6833,6645,6501,6307,6126,6081,6047,6063,6078,-0.017412352121326857
114081,Saitama,Yorii,大里郡寄居町,15757,15918,31675,5568,5394,5291,5145,5009,4824,4655,4456,4313,4244,4130,-0.029231989660409186,7300,7129,6869,6668,6543,6449,6239,6159,6006,5973,5837,-0.021972129361709558
114421,Saitama,Miyashiro,南埼玉郡宮代町,16717,16754,33471,5042,5124,5173,5215,5188,5157,5112,5037,4938,4939,4878,-0.00545176094437827,7448,7356,7226,7220,7153,7013,6798,6712,6665,6519,6601,-0.011960690312665667
114642,Saitama,Sugito,北葛飾郡杉戸町,21750,21812,43562,7792,7640,7533,7359,7219,6966,6723,6522,6416,6275,6100,-0.02470188178119581,9754,9392,9085,8656,8410,8150,7967,7801,7766,7747,7618,-0.022992048552744504
114651,Saitama,Matsubushi,北葛飾郡松伏町,14090,13767,27857,5826,5630,5501,5305,5072,4837,4613,4437,4297,4154,3979,-0.037830187295863626,6406,6194,6004,5864,5669,5491,5358,5255,5261,5194,5192,-0.019415935085129954
121002,Chiba,Chiba,千葉市,488345,495551,983896,172221,171288,169494,167630,165579,163287,160397,157948,155412,153166,150782,-0.014068025722731137,227730,222486,218180,216033,214563,214563,215334,215242,215531,217117,221908,-0.00028899120220327035
121011,Chiba,Chuo,千葉市中央区,109244,107719,216963,33919,34072,33936,34032,34040,33717,33160,32644,32297,32170,31936,-0.007167747448815431,54610,53902,53761,54389,54616,55155,56008,56172,56836,57826,60090,0.012148293329724336
121029,Chiba,Hanamigawa,千葉市花見川区,87818,89146,176964,30002,29609,29202,28608,27996,27549,26963,26433,26019,25679,25100,-0.018189266337293675,41500,40275,39480,38680,38864,39125,39187,39005,39133,39891,40464,0.0005203309768411213
121037,Chiba,Inage,千葉市稲毛区,78888,79538,158426,27599,27858,27743,27534,27280,26781,26477,25946,25508,25085,24494,-0.014197363120471929,38191,37780,36687,35899,35276,34688,34570,34236,34396,34362,34993,-0.008478499792921146
121045,Chiba,Wakaba,千葉市若葉区,73971,72790,146761,24988,24698,24312,23892,23479,23095,22497,22073,21628,21181,20722,-0.019313973961354036,32502,31758,31170,30720,30392,30187,30027,29608,29350,29393,29682,-0.007483398958033072
121053,Chiba,Midori,千葉市緑区,63481,65921,129402,27232,26907,26599,26333,26029,25787,25394,25000,24487,24066,23427,-0.015270786570225514,29433,28909,28636,28410,28106,28074,28070,27911,27577,27310,27031,-0.007435398498886969
121061,Chiba,Mihama,千葉市美浜区,74943,80437,155380,28481,28144,27702,27231,26755,26358,25906,25852,25473,24985,25103,-0.01262483265191483,31494,29862,28446,27935,27309,27334,27472,28310,28239,28335,29648,-0.0007988029604081293
122025,Chiba,Choshi,銚子市,26413,27573,53986,9164,8754,8357,8017,7573,7236,6829,6437,6078,5767,5442,-0.05144758780850389,12629,12146,11722,11207,10773,10305,10033,9535,9325,8938,8725,-0.036089066276449255
122033,Chiba,Ichikawa,市川市,249810,244910,494720,79394,79633,79772,79811,79507,78916,78276,77153,76407,75679,74584,-0.007251642676882497,135517,134886,134959,135215,135123,135311,134930,133358,133387,133991,135423,0.000441568113958013
122041,Chiba,Funabashi,船橋市,322801,326592,649393,112216,112499,112744,112543,112394,111987,110754,109485,108453,107209,105687,-0.006916242717418197,160223,157762,155947,155165,154462,153627,153649,152986,153069,153694,154700,-0.0021753871504220923
122050,Chiba,Tateyama,館山市,21082,22472,43554,7437,7289,7094,6903,6721,6456,6282,6037,5862,5694,5431,-0.03216501466022603,8564,8305,8050,7753,7454,7165,7013,6939,6798,6684,6484,-0.027127494434094457
122068,Chiba,Kisarazu,木更津市,69044,67799,136843,24359,24495,24395,24346,24123,23951,23673,23552,23350,23108,23008,-0.006934404569703512,30584,30359,30181,29768,29487,29356,29493,29134,29111,29221,29296,-0.003952393758413164
122076,Chiba,Matsudo,松戸市,248140,252255,500395,83113,82826,82230,81569,80950,80398,78762,77242,76121,75271,74569,-0.011600758509509701,119938,118909,118275,118196,118014,118038,117715,116501,116679,117664,119802,0.0008316662361076421
122084,Chiba,Noda,野田市,77174,76364,153538,27238,26854,26457,26047,25677,25275,24916,24547,24137,23875,23413,-0.015120449565900196,34791,33594,32814,32032,31552,31042,30601,30205,30253,30465,30501,-0.01067461860659591
122106,Chiba,Mobara,茂原市,42487,43374,85861,14576,14250,13931,13677,13339,13030,12648,12345,12042,11693,11356,-0.024907955248780533,19086,18467,18012,17652,17097,16632,16296,16012,15850,15454,15153,-0.021736593783747482
122114,Chiba,Narita,成田市,66452,66647,133099,24871,24917,24828,24630,24440,23959,23333,22749,22423,22112,21626,-0.01561611807588581,36997,36358,36108,36017,35853,34893,34142,32717,32883,33947,35035,-0.004110052793194208
122122,Chiba,Sakura,佐倉市,83129,86377,169506,29273,29036,28699,28374,28033,27449,26740,26150,25622,25104,24355,-0.019343714590037586,38546,37085,36138,35175,34169,33314,32306,31233,30772,30369,30227,-0.022463519712726088
122131,Chiba,Togane,東金市,28362,28162,56524,10178,9978,9790,9570,9338,9070,8751,8491,8302,8071,7872,-0.02599726539727576,13956,13808,13539,13255,12786,12385,11944,11623,11613,11417,11246,-0.02254591322272048
122157,Chiba,Asahi,旭市,30710,31276,61986,11641,11402,11243,10964,10683,10453,10195,9884,9617,9400,9079,-0.02499614899818725,14839,14547,14396,14010,13715,13483,13213,12894,12790,12552,12276,-0.018683115836641173
