code,prefecture,city_en,city_jp,pop_cagr,under20_cagr,age2039_cagr,income_cagr,crime_rate,score_pop,score_under20,score_2039,score_income,score_safety,macro_total,station_score,total_score
08442,Ibaraki,Miho,稲敷郡美浦村,-0.016179,-0.043410,-0.034032,0.004140,7.1,2,1,2,2,3,10,,15.0
08443,Ibaraki,Ami,稲敷郡阿見町,0.004262,-0.001872,0.000443,0.028086,7.9,8,9,9,8,2,36,,54.0
08447,Ibaraki,Kawachi,稲敷郡河内町,-0.021788,-0.052941,-0.036784,-0.005984,5.4,1,1,1,1,7,11,,16.5
08520,,,,-0.009258,,,,5.4,3,,,,7,10,,15.0
08521,Ibaraki,Yachiyo,結城郡八千代町,-0.009258,-0.032171,-0.011499,0.000302,5.4,3,2,5,1,7,18,,27.0
08540,,,,-0.006264,,,,6.8,4,,,,4,8,,12.0
08542,Ibaraki,Goka,猿島郡五霞町,-0.013923,-0.038382,-0.032685,0.001839,6.9,2,2,2,2,3,11,,16.5
08546,Ibaraki,Sakai,猿島郡境町,-0.003668,-0.013511,-0.005066,0.015648,6.8,5,6,8,5,4,28,,42.0
08560,,,,-0.010078,,,,6.4,3,,,,5,8,,12.0
08564,Ibaraki,Tone,北相馬郡利根町,-0.010078,-0.033223,-0.019264,-0.004301,6.4,3,2,4,1,5,15,,22.5
11100,Saitama,Saitama,さいたま市,0.006890,-0.001848,0.003462,0.031643,6.7,10,9,9,9,4,41,40.5,81.5
11101,Saitama,Nishi,さいたま市西区,0.010183,0.008288,0.010745,0.031643,4.9,10,10,10,9,8,47,34.0,81.0
11102,Saitama,Kita,さいたま市北区,0.004003,-0.011996,-0.000075,0.031643,6.6,8,7,9,9,4,37,43.0,80.0
11103,Saitama,Omiya,さいたま市大宮区,0.010293,0.007096,0.010323,0.031643,13.0,10,10,10,9,1,40,46.5,86.5
11104,Saitama,Minuma,さいたま市見沼区,0.003051,-0.008988,-0.002545,0.031643,6.3,8,8,8,9,5,38,35.5,73.5
11105,Saitama,Chuo,さいたま市中央区,0.004852,-0.008732,0.003159,0.031643,5.9,9,8,9,9,6,41,45.0,86.0
11106,Saitama,Sakura,さいたま市桜区,0.001079,-0.016464,-0.002000,0.031643,6.9,7,5,8,9,3,32,34.5,66.5
11107,Saitama,Urawa,さいたま市浦和区,0.010389,0.006337,0.005984,0.031643,5.4,10,10,10,9,7,46,38.5,84.5
11108,Saitama,Minami,さいたま市南区,0.009023,0.001194,0.004033,0.031643,4.9,10,9,9,9,8,45,42.0,87.0
11109,Saitama,Midori,さいたま市緑区,0.013468,0.009857,0.006708,0.031643,5.8,10,10,10,9,6,45,37.5,82.5
11110,Saitama,Iwatsuki,さいたま市岩槻区,0.000876,-0.010492,-0.001439,0.031643,8.1,7,7,8,9,2,33,31.0,64.0
11201,Saitama,Kawagoe,川越市,0.000977,-0.010383,-0.009110,0.023379,7.7,7,7,6,6,2,28,34.0,62.0
11202,Saitama,Kumagaya,熊谷市,-0.005438,-0.020580,-0.016730,0.015134,8.0,4,4,4,4,2,18,24.0,42.0
11203,Saitama,Kawaguchi,川口市,0.003054,-0.010246,-0.000121,0.027821,7.5,8,7,9,8,2,34,42.5,76.5
11206,Saitama,Gyoda,行田市,-0.007997,-0.025866,-0.021000,0.009282,7.5,3,3,4,3,2,15,30.5,45.5
11207,Saitama,Chichibu,秩父市,-0.014296,-0.031714,-0.029161,0.008136,5.2,2,2,2,3,7,16,23.5,39.5
11208,Saitama,Tokorozawa,所沢市,-0.000164,-0.013555,-0.009632,0.021411,5.7,6,6,6,6,6,30,39.0,69.0
11209,Saitama,Hanno,飯能市,-0.003596,-0.012978,-0.017516,0.013869,6.6,5,7,4,4,4,24,26.0,50.0
11210,Saitama,Kazo,加須市,-0.002592,-0.015362,-0.013003,0.015936,6.4,5,6,5,5,5,26,26.0,52.0
11211,Saitama,Honjo,本庄市,-0.003426,-0.017389,-0.013939,0.015860,9.5,5,5,5,5,1,21,19.0,40.0
11212,Saitama,Higashimatsuyama,東松山市,0.002055,-0.006388,-0.007650,0.019246,9.1,7,8,7,5,1,28,26.0,54.0
11214,Saitama,Kasukabe,春日部市,-0.003446,-0.020406,-0.013858,0.014703,6.9,5,4,5,4,3,21,35.5,56.5
