code,prefecture,city_en,city_jp,pop_cagr,under20_cagr,age2039_cagr,income_cagr,crime_rate,score_pop,score_under20,score_2039,score_income,score_safety,macro_total,station_score,total_score
13109,Tokyo,Shinagawa,品川区,0.010437,0.013108,0.006412,0.049984,5.4,10,10,10,10,7,47,50.0,97.0
13110,Tokyo,Meguro,目黒区,0.004260,0.006468,-0.007529,0.041477,4.9,8,10,7,10,8,43,50.0,93.0
13111,Tokyo,Ota,大田区,0.004578,-0.005993,0.006837,0.031136,5.6,9,8,10,9,7,43,50.0,93.0
13112,Tokyo,Setagaya,世田谷区,0.005454,0.002955,-0.005723,0.033839,5.0,9,10,7,10,8,44,50.0,94.0
13113,Tokyo,Shibuya,渋谷区,0.006443,0.010813,-0.007310,0.061512,18.5,9,10,7,10,1,37,50.0,87.0
13114,Tokyo,Nakano,中野区,0.007539,0.007957,0.002584,0.034384,6.3,10,10,9,10,5,44,50.0,94.0
13115,Tokyo,Suginami,杉並区,0.005349,0.006374,-0.003902,0.031059,4.4,9,10,8,9,9,45,50.0,95.0
13116,Tokyo,Toshima,豊島区,0.006738,0.008593,0.002371,0.035204,13.6,9,10,9,10,1,39,50.0,89.0
13117,Tokyo,Kita,北区,0.006883,0.007736,0.010581,0.035758,6.7,10,10,10,10,4,44,50.0,94.0
13118,Tokyo,Arakawa,荒川区,0.006137,0.000114,0.008162,0.041019,6.5,9,9,10,10,4,42,50.0,92.0
13119,Tokyo,Itabashi,板橋区,0.006208,-0.004917,0.007002,0.031144,6.0,9,9,10,9,6,43,50.0,93.0
13120,Tokyo,Nerima,練馬区,0.004292,-0.004795,0.001455,0.028735,4.9,8,9,9,8,8,42,50.0,92.0
13121,Tokyo,Adachi,足立区,0.003528,-0.012867,0.008902,0.031984,6.6,8,7,10,9,4,38,50.0,88.0
13122,Tokyo,Katsushika,葛飾区,0.004446,-0.006164,0.008925,0.029823,7.0,8,8,10,8,3,37,43.5,80.5
13123,Tokyo,Edogawa,江戸川区,0.001939,-0.014173,0.000136,0.029817,6.3,7,6,9,8,5,35,45.5,80.5
13201,Tokyo,Hachioji,八王子市,-0.000622,-0.016558,-0.010294,0.019775,5.4,6,5,6,6,7,30,35.5,65.5
13202,Tokyo,Tachikawa,立川市,0.003932,-0.006637,-0.001068,0.028445,9.1,8,8,8,8,1,33,46.5,79.5
13203,Tokyo,Musashino,武蔵野市,0.004073,0.005430,-0.010342,0.028375,9.1,8,10,6,8,1,33,43.5,76.5
13204,Tokyo,Mitaka,三鷹市,0.004523,0.002652,-0.010264,0.030493,4.4,8,9,6,9,9,41,42.0,83.0
13205,Tokyo,Ome,青梅市,-0.005956,-0.028285,-0.019692,0.009971,5.1,4,3,4,3,7,21,28.5,49.5
13206,Tokyo,Fuchu,府中市,0.002504,-0.009747,-0.009191,0.026457,4.7,7,7,6,8,8,36,46.5,82.5
13207,Tokyo,Akishima,昭島市,0.002548,-0.004196,-0.004812,0.022829,7.1,7,9,8,6,3,33,38.5,71.5
13208,Tokyo,Chofu,調布市,0.006563,0.002017,-0.005593,0.028289,5.4,9,9,7,8,7,40,46.5,86.5
13209,Tokyo,Machida,町田市,0.000822,-0.012055,-0.007369,0.018928,6.2,7,7,7,5,5,31,39.0,70.0
13210,Tokyo,Koganei,小金井市,0.006409,0.007913,-0.003379,0.025960,4.8,9,10,8,8,8,43,42.0,85.0
13211,Tokyo,Kodaira,小平市,0.005143,-0.001493,-0.006236,0.027762,5.3,9,9,7,8,7,40,43.5,83.5
13212,Tokyo,Hino,日野市,0.004070,-0.006735,-0.004085,0.024280,5.0,8,8,8,7,8,39,41.5,80.5
13213,Tokyo,Higashimurayama,東村山市,0.000253,-0.009953,-0.007848,0.021747,4.9,6,7,7,6,8,34,46.5,80.5
13214,Tokyo,Kokubunji,国分寺市,0.008171,0.009926,0.001080,0.033998,5.0,10,10,9,10,8,47,42.0,89.0
13215,Tokyo,Kunitachi,国立市,0.002022,-0.009061,-0.006084,0.025821,5.7,7,8,7,7,6,35,41.5,76.5
13218,Tokyo,Fussa,福生市,-0.003418,-0.019183,-0.007044,0.012382,7.9,5,5,7,4,2,23,39.5,62.5
13219,Tokyo,Komae,狛江市,0.003671,0.001166,-0.010547,0.028167,4.3,8,9,6,8,9,40,47.0,87.0
13220,Tokyo,Higashiyamato,東大和市,-0.001362,-0.013773,-0.016056,0.012445,6.6,6,6,4,4,4,24,40.0,64.0
13221,Tokyo,Kiyose,清瀬市,0.000853,-0.010179,-0.000984,0.027555,6.4,7,7,8,8,5,35,39.0,74.0
13222,Tokyo,Higashikurume,東久留米市,-0.000145,-0.009665,-0.013045,0.022323,6.3,6,7,5,6,5,29,37.5,66.5
13223,Tokyo,Musashimurayama,武蔵村山市,-0.001953,-0.017238,-0.013809,0.019306,7.1,5,5,5,5,3,23,29.5,52.5
13224,Tokyo,Tama,多摩市,0.000405,-0.010921,-0.015957,0.017036,5.7,6,7,5,5,6,29,40.0,69.0
13225,Tokyo,Inagi,稲城市,0.008150,-0.001526,0.000383,0.033488,4.1,10,9,9,9,9,46,43.5,89.5
13227,Tokyo,Hamura,羽村市,-0.004466,-0.021782,-0.013888,0.011417,7.8,4,4,5,3,2,18,32.0,50.0
13228,Tokyo,Akiruno,あきる野市,-0.003044,-0.019485,-0.013234,0.015165,5.7,5,5,5,4,6,25,27.0,52.0
13229,Tokyo,Nishitokyo,西東京市,0.003953,-0.002225,-0.005245,0.025953,5.7,8,9,7,8,6,38,43.5,81.5
13300,,,,-0.007516,,,,3.7,3,,,,10,13,,19.5
13303,Tokyo,Mizuho,西多摩郡瑞穂町,-0.005441,-0.028030,-0.020378,0.011440,7.5,4,3,4,3,2,16,31.0,47.0
13305,Tokyo,Hinode,西多摩郡日の出町,-0.006028,-0.010509,-0.033977,0.002575,8.4,4,7,2,2,1,16,,24.0
13307,Tokyo,Hionohara,西多摩郡檜原村,-0.021055,-0.028878,-0.064205,-0.000045,5.7,1,3,1,1,6,12,,18.0
13308,Tokyo,Okutama,西多摩郡奥多摩町,-0.020219,-0.018249,-0.022900,-0.006849,2.0,1,5,3,1,10,20,22.5,42.5
13360,,,,-0.014891,,,,,2,,,,,2,,3.0
13361,Tokyo,Oshima,大島町,-0.018992,-0.030907,-0.027365,0.003746,0.880669,1,3,2,2,10,18,,27.0
13362,Tokyo,Rishima,利島村,-0.002304,-0.008200,-0.024489,,0.000000,5,8,3,,10,26,,39.0
13363,Tokyo,Nijima,新島村,-0.017727,-0.028571,-0.030434,0.011961,2.9,1,3,2,3,10,19,,28.5
13364,Tokyo,Kozushima,神津島村,-0.010890,-0.017722,-0.016382,0.004442,0.575705,3,5,4,2,10,24,,36.0
13381,Tokyo,Miyake,三宅村,-0.020289,0.004529,-0.020928,0.008480,1.4,1,10,4,3,10,28,,42.0
13382,Tokyo,Okurasima,御蔵島村,0.001334,-0.009146,-0.033971,,0.000000,7,8,2,,10,27,,40.5
13401,Tokyo,Hchijo,八丈町,-0.014595,-0.018990,-0.016008,0.016594,2.3,2,5,4,5,10,26,,39.0
13402,Tokyo,Aogashima,青ヶ島村,-0.004273,-0.037591,0.012576,,0.000000,4,2,10,,10,26,,39.0
13421,Tokyo,Ogasawara,小笠原村,-0.002255,-0.012555,-0.029402,0.021985,4.4,5,7,2,6,9,29,,43.5
14100,Kanagawa,Yokohama,横浜市,0.000834,-0.012639,-0.004772,0.024683,4.7,7,7,8,7,8,37,47.0,84.0
14101,Kanagawa,Tsurumi,横浜市鶴見区,0.003472,-0.008308,-0.000487,0.024683,5.9,8,8,8,7,6,37,50.0,87.0
14102,Kanagawa,Kanagawa,横浜市神奈川区,0.005731,-0.004167,0.004454,0.024683,4.9,9,9,9,7,8,42,50.0,92.0
14103,Kanagawa,Nishi,横浜市西区,0.008538,0.005285,0.005779,0.024683,14.5,10,10,10,7,1,38,50.0,88.0
14104,Kanagawa,Naka,横浜市中区,0.003728,-0.010004,-0.001012,0.024683,11.0,8,7,8,7,1,31,50.0,81.0
14105,Kanagawa,Minami,横浜市南区,0.000847,-0.013554,0.005456,0.024683,3.9,7,6,10,7,10,40,50.0,90.0
14106,Kanagawa,Hodogaya,横浜市保土ケ谷区,-0.000809,-0.014104,-0.003479,0.024683,4.0,6,6,8,7,9,36,47.0,83.0
14107,Kanagawa,Isogo,横浜市磯子区,-0.000408,-0.009486,-0.014230,0.024683,4.3,6,8,5,7,9,35,43.5,78.5
14108,Kanagawa,Kanazawa,横浜市金沢区,-0.005750,-0.021681,-0.016966,0.024683,5.5,4,4,4,7,7,26,50.0,76.0
14109,Kanagawa,Kohoku,横浜市港北区,0.006127,-0.000833,-0.000606,0.024683,4.9,9,9,8,7,8,41,50.0,91.0
14110,Kanagawa,Totsuka,横浜市戸塚区,0.001794,-0.009377,-0.007951,0.024683,4.1,7,8,7,7,9,38,41.0,79.0
14111,Kanagawa,Konan,横浜市港南区,-0.002956,-0.015806,-0.010024,0.024683,4.7,5,6,6,7,8,32,45.5,77.5
14112,Kanagawa,Asahi,横浜市旭区,-0.003229,-0.015279,-0.009977,0.024683,4.6,5,6,6,7,8,32,42.5,74.5
14113,Kanagawa,Midori,横浜市緑区,0.001483,-0.013595,-0.006007,0.024683,4.0,7,6,7,7,10,37,45.5,82.5
14114,Kanagawa,Seya,横浜市瀬谷区,-0.003898,-0.023456,-0.006232,0.024683,5.3,5,4,7,7,7,30,39.0,69.0
14115,Kanagawa,Sakae,横浜市栄区,-0.002672,-0.016845,-0.008918,0.024683,3.3,5,5,6,7,10,33,34.5,67.5
14116,Kanagawa,Izumi,横浜市泉区,-0.003103,-0.018266,-0.009616,0.024683,4.3,5,5,6,7,9,32,45.0,77.0
14117,Kanagawa,Aoba,横浜市青葉区,-0.000175,-0.018340,-0.010901,0.024683,3.0,6,5,5,7,10,33,42.0,75.0
14118,Kanagawa,Tsuzuki,横浜市都筑区,0.001865,-0.020915,-0.006257,0.024683,4.5,7,4,7,7,9,34,43.5,77.5
14130,Kanagawa,Kawasaki,川崎市,0.006036,-0.005716,0.001053,0.032268,5.3,9,8,9,9,7,42,48.5,90.5
14131,Kanagawa,Kawasaki,川崎市川崎区,0.004839,-0.011842,0.005864,0.032268,10.6,9,7,10,9,1,36,50.0,86.0
14132,Kanagawa,Saiwai,川崎市幸区,0.009248,0.007079,0.003085,0.032268,6.0,10,10,9,9,6,44,47.0,91.0
14133,Kanagawa,Nakahara,川崎市中原区,0.009442,0.000958,0.002966,0.032268,4.1,10,9,9,9,9,46,50.0,96.0
14134,Kanagawa,Takatsu,川崎市高津区,0.004593,-0.009577,-0.004866,0.032268,5.1,9,7,8,9,8,41,50.0,91.0
14135,Kanagawa,Tama,川崎市多摩区,0.006733,-0.007360,0.008921,0.032268,4.4,9,8,10,9,9,45,46.5,91.5
14136,Kanagawa,Miyamae,川崎市宮前区,0.004229,-0.007782,-0.006933,0.032268,3.3,8,8,7,9,10,42,38.5,80.5
14137,Kanagawa,Asao,川崎市麻生区,0.003059,-0.010382,-0.004809,0.032268,4.1,8,7,8,9,9,41,45.0,86.0
14150,Kanagawa,Sagamihara,相模原市,0.000188,-0.015254,-0.010111,0.020642,1.4,6,6,6,6,10,34,34.5,68.5
14151,Kanagawa,Midori,相模原市緑区,-0.004554,-0.023083,-0.019522,0.020642,11.0,4,4,4,6,1,19,33.0,52.0
14152,Kanagawa,Chuo,相模原市中央区,0.001354,-0.015612,-0.008624,0.020642,6.4,7,6,6,6,5,30,42.0,72.0
14153,Kanagawa,Minami,相模原市南区,0.001971,-0.009989,-0.006151,0.020642,5.5,7,7,7,6,7,34,38.5,72.5
14201,Kanagawa,Yokosuka,横須賀市,-0.009802,-0.026272,-0.021966,0.007298,3.6,3,3,3,2,10,21,38.5,59.5
14203,Kanagawa,Hiratsuka,平塚市,-0.000589,-0.015840,-0.009486,0.018164,6.8,6,6,6,5,4,27,29.5,56.5
14204,Kanagawa,Kamakura,鎌倉市,-0.001659,-0.010076,-0.013321,0.026931,4.8,6,7,5,8,8,34,46.5,80.5
14205,Kanagawa,Fujisawa,藤沢市,0.005034,-0.004230,-0.005617,0.028238,5.5,9,9,7,8,7,40,42.0,82.0
14206,Kanagawa,Odawara,小田原市,-0.004646,-0.021049,-0.014191,0.017978,8.3,4,4,5,5,1,19,35.0,54.0
14207,Kanagawa,Chigasaki,茅ヶ崎市,0.002840,-0.006984,-0.010769,0.027157,5.4,8,8,6,8,7,37,37.5,74.5
14208,Kanagawa,Zushi,逗子市,-0.003798,-0.011846,-0.020696,0.025915,5.1,5,7,4,8,7,31,42.0,73.0
14210,Kanagawa,Miura,三浦市,-0.015377,-0.037814,-0.035042,-0.000807,4.8,2,2,2,1,8,15,30.5,45.5
14211,Kanagawa,Hadano,秦野市,-0.003582,-0.021641,-0.019164,0.010855,6.5,5,4,4,3,4,20,24.0,44.0
14212,Kanagawa,Atsugi,厚木市,-0.000854,-0.018804,-0.010753,0.018950,7.5,6,5,6,5,2,24,29.5,53.5
14213,Kanagawa,Yamato,大和市,0.005089,-0.005074,0.000886,0.026567,7.8,9,9,9,8,2,37,29.5,66.5
14214,Kanagawa,Isehara,伊勢原市,0.000278,-0.017557,-0.006581,0.019645,5.2,6,5,7,6,7,31,30.5,61.5
14215,Kanagawa,Ebina,海老名市,0.007926,-0.001498,0.005861,0.034662,6.6,10,9,10,10,4,43,42.0,85.0
14216,Kanagawa,Zama,座間市,0.001113,-0.013081,-0.007722,0.021137,6.4,7,7,7,6,4,31,38.5,69.5
14217,Kanagawa,Minamiashigara,南足柄市,-0.009161,-0.033760,-0.026820,0.003483,3.6,3,2,3,2,10,20,23.5,43.5
14218,Kanagawa,Ayase,綾瀬市,-0.001725,-0.014302,-0.008814,0.020909,6.0,5,6,6,6,6,29,26.0,55.0
14300,,,,-0.005163,,,,3.2,4,,,,10,14,,21.0
14301,Kanagawa,Miurahayama,三浦郡葉山町,-0.005163,-0.015216,-0.031300,0.023394,4.5,4,6,2,6,9,27,,40.5
14320,,,,0.001866,,,,4.4,7,,,,9,16,,24.0
14321,Kanagawa,Samukawa,高座郡寒川町,0.001866,-0.007759,-0.011955,0.019572,8.8,7,8,5,6,1,27,38.5,65.5
14340,,,,-0.005508,,,,3.6,4,,,,10,14,,21.0
14341,Kanagawa,Oiso,中郡大磯町,-0.003986,-0.013645,-0.027910,0.010312,3.7,5,6,2,3,10,26,31.0,57.0
14342,Kanagawa,Ninomiya,中郡二宮町,-0.007239,-0.022724,-0.026173,-0.051161,5.5,3,4,3,1,7,18,34.0,52.0
14360,,,,-0.003449,,,,4.8,5,,,,8,13,,19.5
14361,Kanagawa,Nakai,足柄上郡中井町,-0.009171,-0.034462,-0.026811,0.002489,3.6,3,2,3,2,10,20,,30.0
14362,Kanagawa,Oi,足柄上郡大井町,0.000218,-0.021294,-0.003394,0.021314,6.4,6,4,8,6,5,29,,43.5
14363,Kanagawa,Matsuda,足柄上郡松田町,-0.010038,-0.024948,-0.023324,0.006079,5.3,3,4,3,2,7,19,,28.5
14364,Kanagawa,Yamakita,足柄上郡山北町,-0.020588,-0.042603,-0.045169,-0.004775,4.1,1,1,1,1,9,13,,19.5
14366,Kanagawa,Kaisei,足柄上郡開成町,0.010244,0.001667,-0.000214,0.035251,5.7,10,9,9,10,6,44,,66.0
14380,,,,-0.014190,,,,3.5,2,,,,10,12,,18.0
14382,Kanagawa,Hakone,足柄下郡箱根町,-0.014035,-0.047218,0.014671,-0.000339,9.0,2,1,10,1,1,15,,22.5
14383,Kanagawa,Manazuru,足柄下郡真鶴町,-0.018296,-0.046176,-0.041132,0.016883,3.1,1,1,1,5,10,18,,27.0
14384,Kanagawa,Yugawara,足柄下郡湯河原町,-0.013067,-0.048457,-0.023343,0.030589,4.4,3,1,3,9,9,25,,37.5
14400,,,,-0.005472,,,,3.5,4,,,,10,14,,21.0
14401,Kanagawa,Aikawa,愛甲郡愛川町,-0.004964,-0.028686,-0.011083,0.010801,4.0,4,3,5,3,9,24,,36.0
14402,Kanagawa,Kiyokawa,愛甲郡清川村,-0.012530,-0.028975,-0.040830,-0.008488,1.8,3,3,1,1,10,18,,27.0
