code,prefecture,city,2017,2018,2019,2020,2021,2022,2023,2024,cagr_7y
112127,Saitama,東松山市,127548658,131190015,133777349,133478976,136504073,140429506,143257251,145756832,0.019246
112143,Saitama,春日部市,333026600,337128320,341610733,345309222,352054345,360093836,364412021,368852525,0.014703
112151,Saitama,狭山市,228087370,229062031,230589917,234576201,234134649,239049102,241375513,244456655,0.009951
112160,Saitama,羽生市,72217223,73595224,74912003,75363797,77228252,78148532,80354989,79323376,0.013498
112178,Saitama,鴻巣市,174896976,177831137,181266114,181828391,183497704,188772927,193216569,192805365,0.014024
112186,Saitama,深谷市,195330751,198079537,202044434,202352620,209203112,214485831,216456629,216486907,0.014799
112194,Saitama,上尾市,350776159,363976486,368003570,371124191,380208859,396548452,404801849,413624587,0.023824
112216,Saitama,草加市,392261849,403028749,417081159,422774698,431591323,448188160,465822256,471590616,0.026661
112224,Saitama,越谷市,538830281,551953972,569405243,578289927,592142565,612274416,631760614,635201220,0.023784
112232,Saitama,蕨市,125354940,126841340,131778964,133580990,135640696,142108127,144068800,147965573,0.023973
112241,Saitama,戸田市,253596752,260891696,266314639,271123042,280409567,291244879,298664914,308471957,0.028379
112259,Saitama,入間市,221892746,225706919,228220654,227024121,230485834,237248886,240286617,238396569,0.010301
112275,Saitama,朝霞市,250929697,261581832,270614559,279251759,284775546,300460771,305463422,335615461,0.042417
112283,Saitama,志木市,132604232,136499746,139766816,141072352,146111660,150453786,150052273,154083925,0.021679
112291,Saitama,和光市,161706418,166103331,180444673,177157327,183981117,190028909,196213675,203920996,0.033691
112305,Saitama,新座市,260787101,270300751,271136863,273771266,280089211,290784297,299706381,305816484,0.023015
112313,Saitama,桶川市,112788265,116429385,117451078,117065339,120277448,125395010,125034717,128591004,0.018909
112321,Saitama,久喜市,228792500,233199238,233505442,233094887,239596333,245060617,250570076,251060149,0.013357
112330,Saitama,北本市,99506817,99965343,101504033,101235715,103796928,105671577,106720383,109804375,0.014167
112348,Saitama,八潮市,138191519,146284379,152216880,158275240,165021766,171070311,176500193,181932574,0.040067
112356,Saitama,富士見市,175940620,182747490,194697328,188524816,195411396,206937844,210188304,216496850,0.030076
112372,Saitama,三郷市,213342351,219579496,228322328,234763003,239892993,261332207,253787652,256051197,0.026411
112381,Saitama,蓮田市,97602419,98354594,97751419,97333050,99830702,104064972,105631434,108707457,0.015513
112399,Saitama,坂戸市,143641891,145053260,149362129,150438962,152040668,155966274,158387975,161206931,0.016617
112402,Saitama,幸手市,67632056,68591185,68557091,68158780,68867409,69925235,70928149,71778552,0.008537
112411,Saitama,鶴ケ島市,106014979,108616474,108583564,109402729,113443744,118288460,118696101,120512429,0.018479
112429,Saitama,日高市,77573545,78185749,78756289,79152114,80664228,81555980,83965024,83048946,0.009791
112437,Saitama,吉川市,110534307,112635711,115880918,117685201,121893376,125371268,127937723,129987124,0.023429
112453,Saitama,ふじみ野市,181163654,185950494,189386722,191550986,194732641,207462548,207855849,213206744,0.023539
112461,Saitama,白岡市,86135275,85105110,85957860,86650338,88475104,91590444,93265776,94715285,0.013658
113018,Saitama,伊奈町,65636464,67125976,69389313,69606408,72185388,74908831,77929318,77968953,0.024902
113247,Saitama,三芳町,58686185,60429458,60303243,64474922,62158692,63575095,66080571,64522878,0.013637
113263,Saitama,毛呂山町,43277302,42873253,43442888,43551244,44326723,44671535,45023368,45004854,0.005607
