code,prefecture,city,2017,2018,2019,2020,2021,2022,2023,2024,cagr_7y
143014,Kanagawa,葉山町,66431342,67831152,68513106,67486134,70801609,72681159,74321750,78104041,0.023394
143219,Kanagawa,寒川町,71277836,71850458,73723843,74464214,76193990,79753948,80694848,81635491,0.019572
143413,Kanagawa,大磯町,59449285,60076016,60705147,60705356,60369159,62811316,64060313,63875413,0.010312
143421,Kanagawa,二宮町,71226664,46158989,55868250,46452265,46924336,48352405,49214161,49316216,-0.051161
143618,Kanagawa,中井町,13373458,13278351,13466447,13812377,13839102,13641456,13787631,13608200,0.002489
143626,Kanagawa,大井町,24189114,24522111,25253362,25677751,26380766,27145504,27339010,28037246,0.021314
143634,Kanagawa,松田町,16097532,16409124,16453324,16292683,17220994,17071847,17099736,16795104,0.006079
143642,Kanagawa,山北町,14167548,14408809,13868924,13713101,14106935,14055745,13655127,13700772,-0.004775
143669,Kanagawa,開成町,27332460,28344798,29411011,30938307,31629043,32401514,33382213,34833540,0.035251
143821,Kanagawa,箱根町,18362655,18147459,17485774,17061803,16753587,17106221,17248979,18319168,-0.000339
143839,Kanagawa,真鶴町,9209800,9439034,9286404,9169281,9634307,9102274,9241370,10354908,0.016883
143847,Kanagawa,湯河原町,31363543,32337810,32080355,31992380,32418432,33488679,33560383,38727907,0.030589
144011,Kanagawa,愛川町,53672337,55071563,56100924,55549657,55868277,57613155,58343148,57864293,0.010801
144029,Kanagawa,清川村,4190284,4242458,4164476,4076682,4118733,3984618,4065106,3947551,-0.008488
