code,prefecture,city,crimes_2023,crimes_2024,crimes_2025
141313,Kanagawa,川崎市川崎区,2574,2638,2489
141321,Kanagawa,川崎市幸区,863,1045,1051
141330,Kanagawa,川崎市中原区,1091,1223,1083
141348,Kanagawa,川崎市高津区,948,1045,1175
141356,Kanagawa,川崎市多摩区,893,891,952
141364,Kanagawa,川崎市宮前区,757,692,772
141372,Kanagawa,川崎市麻生区,519,560,734
141500,Kanagawa,相模原市,4250,4209,979
141518,Kanagawa,相模原市緑区,989,944,1820
141526,Kanagawa,相模原市中央区,1901,1724,1731
141534,Kanagawa,相模原市南区,1360,1541,
142018,Kanagawa,横須賀市,1505,1300,1348
142034,Kanagawa,平塚市,1546,1467,1734
142042,Kanagawa,鎌倉市,645,673,840
142051,Kanagawa,藤沢市,2101,2466,2463
142069,Kanagawa,小田原市,928,1090,1555
142077,Kanagawa,茅ヶ崎市,1029,1237,1343
142085,Kanagawa,逗子市,276,263,296
142107,Kanagawa,三浦市,167,146,191
142115,Kanagawa,秦野市,651,621,1027
142123,Kanagawa,厚木市,1262,1385,1680
142131,Kanagawa,大和市,1787,1490,1921
142140,Kanagawa,伊勢原市,399,411,515
142158,Kanagawa,海老名市,837,731,923
142166,Kanagawa,座間市,643,687,845
142174,Kanagawa,南足柄市,147,172,146
142182,Kanagawa,綾瀬市,430,375,503
143006,Kanagawa,三浦郡,98,101,
143014,Kanagawa,三浦郡葉山町,98,101,143
143201,Kanagawa,高座郡,303,218,
143219,Kanagawa,高座郡寒川町,303,218,431
143405,Kanagawa,中郡,200,215,
143413,Kanagawa,中郡大磯町,99,101,119
143421,Kanagawa,中郡二宮町,101,114,150
143600,Kanagawa,足柄上郡,326,312,
143618,Kanagawa,足柄上郡中井町,54,54,32
143626,Kanagawa,足柄上郡大井町,74,72,111
143634,Kanagawa,足柄上郡松田町,56,63,55
143642,Kanagawa,足柄上郡山北町,33,44,38
143669,Kanagawa,足柄上郡開成町,109,79,105
143804,Kanagawa,足柄下郡,107,140,
143821,Kanagawa,足柄下郡箱根町,48,38,98
143839,Kanagawa,足柄下郡真鶴町,14,19,20
143847,Kanagawa,足柄下郡湯河原町,45,83,102
144002,Kanagawa,愛甲郡,187,148,
144011,Kanagawa,愛甲郡愛川町,182,141,158
144029,Kanagawa,愛甲郡清川村,5,7,5
