code,macro_score,station_score,total_score
14100,37,47.0,84.0
14101,37,50.0,87.0
14102,42,50.0,92.0
14103,38,50.0,88.0
14104,31,50.0,81.0
14105,40,50.0,90.0
14106,36,47.0,83.0
14107,35,43.5,78.5
14108,26,50.0,76.0
14109,41,50.0,91.0
14110,38,41.0,79.0
14111,32,45.5,77.5
14112,32,42.5,74.5
14113,37,45.5,82.5
14114,30,39.0,69.0
14115,33,34.5,67.5
14116,32,45.0,77.0
14117,33,42.0,75.0
14118,34,43.5,77.5
14130,42,48.5,90.5
14131,36,50.0,86.0
14132,44,47.0,91.0
14133,46,50.0,96.0
14134,41,50.0,91.0
14135,45,46.5,91.5
14136,42,38.5,80.5
14137,41,45.0,86.0
14150,34,34.5,68.5
14151,19,33.0,52.0
14152,30,42.0,72.0
14153,34,38.5,72.5
14201,21,38.5,59.5
14203,27,29.5,56.5
14204,34,46.5,80.5
14205,40,42.0,82.0
14206,19,35.0,54.0
14207,37,37.5,74.5
14208,31,42.0,73.0
14210,15,30.5,45.5
14211,20,24.0,44.0
14212,24,29.5,53.5
14213,37,29.5,66.5
14214,31,30.5,61.5
14215,43,42.0,85.0
14216,31,38.5,69.5
14217,20,23.5,43.5
14218,29,26.0,55.0
14300,14,,21.0
14301,27,,40.5
14320,16,,24.0
14321,27,38.5,65.5
14340,14,,21.0
14341,26,31.0,57.0
14342,18,34.0,52.0
14360,13,,19.5
14361,20,,30.0
14362,29,,43.5
14363,19,,28.5
14364,13,,19.5
14366,44,,66.0
14380,12,,18.0
14382,15,,22.5
14383,18,,27.0
14384,25,,37.5
14400,14,,21.0
14401,24,,36.0
14402,18,,27.0
