code,prefecture,city_jp,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,cagr_10y
13402,東京都,青ヶ島村*,167,,160,166,159,168,165,170,168,156,160,-0.004273
13421,東京都,小笠原村*,2553,,2594,2641,2625,2629,2606,2575,2581,2600,2496,-0.002255
14100,神奈川県,横浜市,3722250,,3735843,3737845,3745796,3754772,3759939,3755793,3753645,3752969,3753398,0.000834
14101,神奈川県,横浜市鶴見区,285865,,289807,291329,293569,295361,295603,294028,293430,294106,295947,0.003472
14102,神奈川県,横浜市神奈川区,232178,,235449,236829,238559,240251,241139,241476,242940,243726,245832,0.005731
14103,神奈川県,横浜市西区,97533,,98021,99424,101770,103361,103530,103279,104408,105137,106188,0.008538
14104,神奈川県,横浜市中区,149691,,151385,151463,151474,152210,153309,152191,152949,154056,155366,0.003728
14105,神奈川県,横浜市南区,198894,,198854,199085,199455,199597,199384,198822,198745,200169,200586,0.000847
14106,神奈川県,横浜市保土ケ谷区,204354,,205768,205656,204715,205077,205071,204082,203266,203180,202706,-0.000809
14107,神奈川県,横浜市磯子区,166263,,167988,168071,168189,167910,167759,167405,166575,166143,165586,-0.000408
14108,神奈川県,横浜市金沢区,203406,,201098,200265,199283,198300,197402,196463,194944,193279,192009,-0.005750
14109,神奈川県,横浜市港北区,336942,,341531,343332,346030,348231,350985,351978,354558,355528,358165,0.006127
14110,神奈川県,横浜市戸塚区,275856,,277189,278196,280439,281940,282521,282714,282160,281702,280846,0.001794
14111,神奈川県,横浜市港南区,217823,,215738,215180,215116,214973,214841,214976,214052,213152,211469,-0.002956
14112,神奈川県,横浜市旭区,249908,,248513,247766,247731,247142,246248,244821,243849,242899,241954,-0.003229
14113,神奈川県,横浜市緑区,178888,,180382,180436,180814,181721,182279,182182,181749,181773,181558,0.001483
14114,神奈川県,横浜市瀬谷区,126580,,125594,124948,124048,123405,123015,122587,122164,122105,121731,-0.003898
14115,神奈川県,横浜市栄区,123956,,122414,121943,121108,120675,120386,120956,121318,121239,120683,-0.002672
14116,神奈川県,横浜市泉区,155825,,154926,154232,153538,153065,152959,152700,152035,151286,151056,-0.003103
14117,神奈川県,横浜市青葉区,307497,,308963,308335,308354,308833,310085,310217,309573,308151,306960,-0.000175
14118,神奈川県,横浜市都筑区,210791,,212223,211355,211604,212720,213423,214916,214930,215338,214756,0.001865
14130,神奈川県,川崎市,1445484,,1474167,1488031,1500460,1514299,1521562,1522390,1524026,1529136,1535141,0.006036
14131,神奈川県,川崎市川崎区,222865,,228589,231824,233525,234888,234569,232653,232123,232922,233887,0.004839
14132,神奈川県,川崎市幸区,159434,,164111,166740,167772,171345,171872,172030,172312,173298,174808,0.009248
14133,神奈川県,川崎市中原区,240075,,247320,250259,254365,257775,259718,260078,261075,262300,263731,0.009442
14134,神奈川県,川崎市高津区,221567,,225817,227155,228331,229524,230598,230835,230205,231310,231957,0.004593
14135,神奈川県,川崎市多摩区,204350,,206688,207593,209208,211110,212806,214187,215269,216379,218533,0.006733
14136,神奈川県,川崎市宮前区,224570,,227478,229422,230683,231870,233405,234040,234495,234713,234249,0.004229
14137,神奈川県,川崎市麻生区,172623,,174164,175038,176576,177787,178594,178567,178547,178214,177976,0.003059
14150,神奈川県,相模原市,715145,,716981,718192,718367,718300,718601,719112,719118,717861,716494,0.000188
14151,神奈川県,相模原市緑区,173514,,172792,172066,171321,170183,169252,168694,167923,166625,165772,-0.004554
14152,神奈川県,相模原市中央区,268209,,270081,270913,271234,271497,271961,272039,272439,272325,271862,0.001354
14153,神奈川県,相模原市南区,273422,,274108,275213,275812,276620,277388,278379,278756,278911,278860,0.001971
14201,神奈川県,横須賀市,418277,,412026,408739,405244,401050,396992,392817,388197,383488,379041,-0.009802
14203,神奈川県,平塚市,258065,,257373,257615,257113,256947,256652,255987,256005,256856,256549,-0.000589
14204,神奈川県,鎌倉市,177458,,176393,176242,176369,176408,177053,177051,176460,175625,174535,-0.001659
14205,神奈川県,藤沢市,423246,,428612,430685,433526,436206,439416,443053,445177,445172,445041,0.005034
14206,神奈川県,小田原市,195353,,193803,192674,191557,190580,189425,188739,187880,187040,186464,-0.004646
14207,神奈川県,茅ヶ崎市,240428,,241979,242792,243931,243884,244475,245852,246394,247785,247345,0.002840
14208,神奈川県,逗子市,60070,,60154,59917,59573,59525,59598,59391,58959,58510,57827,-0.003798
14210,神奈川県,三浦市,46520,,45174,44451,43770,43036,42444,41817,41297,40578,39842,-0.015377
14211,神奈川県,秦野市,164366,,162809,162296,161628,161193,160415,159985,159646,159257,158573,-0.003582
14212,神奈川県,厚木市,225342,,225366,225654,225089,224378,223710,223451,223836,223940,223424,-0.000854
14213,神奈川県,大和市,233586,,235434,236675,237112,239192,240998,242937,244421,245038,245750,0.005089
14214,神奈川県,伊勢原市,99539,,100187,100518,100777,100427,100213,99795,99910,100156,99816,0.000278
14215,神奈川県,海老名市,130077,,131061,131789,133199,134442,136134,136965,138969,139604,140763,0.007926
14216,神奈川県,座間市,129767,,130088,130519,130963,131698,131845,131709,131527,131356,131219,0.001113
14217,神奈川県,南足柄市,44036,,43348,43125,42687,42195,41650,41254,41057,40666,40164,-0.009161
14218,神奈川県,綾瀬市,85414,,85180,85063,85120,85297,84886,84445,84376,84100,83952,-0.001725
14300,神奈川県,三浦郡,33503,,33431,33300,33194,32994,32916,32864,32623,32272,31813,-0.005163
14301,神奈川県,三浦郡葉山町,33503,,33431,33300,33194,32994,32916,32864,32623,32272,31813,-0.005163
14320,神奈川県,高座郡,48092,,48372,48446,48588,48695,48933,49064,49063,49135,48997,0.001866
14321,神奈川県,高座郡寒川町,48092,,48372,48446,48588,48695,48933,49064,49063,49135,48997,0.001866
14340,神奈川県,中郡,62532,,62132,61941,61728,61320,61032,60647,60190,59806,59172,-0.005508
14341,神奈川県,中郡大磯町,33051,,33045,33054,32936,32773,32711,32464,32265,32054,31757,-0.003986
14342,神奈川県,中郡二宮町,29481,,29087,28887,28792,28547,28321,28183,27925,27752,27415,-0.007239
14360,神奈川県,足柄上郡,66845,,66234,66065,66040,65945,65693,65375,65190,64976,64575,-0.003449
14361,神奈川県,足柄上郡中井町,9760,,9630,9559,9481,9394,9262,9099,9068,8932,8901,-0.009171
14362,神奈川県,足柄上郡大井町,17388,,17171,17214,17280,17326,17317,17351,17363,17473,17426,0.000218
14363,神奈川県,足柄上郡松田町,11525,,11318,11249,11227,11116,10931,10756,10616,10487,10419,-0.010038
14364,神奈川県,足柄上郡山北町,11405,,10842,10583,10308,10104,9960,9783,9577,9435,9263,-0.020588
14366,神奈川県,足柄上郡開成町,16767,,17273,17460,17744,18005,18223,18386,18566,18649,18566,0.010244
14380,神奈川県,足柄下郡*,46804,,45248,44878,44209,43475,42803,42167,41624,41100,40571,-0.014190
14382,神奈川県,足柄下郡箱根町,12480,,12017,11968,11655,11468,11195,11032,10845,10907,10835,-0.014035
14383,神奈川県,足柄下郡真鶴町*,7882,,7548,7457,7334,7204,7115,6984,6880,6710,6553,-0.018296
14384,神奈川県,足柄下郡湯河原町,26442,,25683,25453,25220,24803,24493,24151,23899,23483,23183,-0.013067
14400,神奈川県,愛甲郡*,44467,,43994,43822,43481,43184,42860,42550,42413,42262,42093,-0.005472
14401,神奈川県,愛甲郡愛川町,41386,,40955,40843,40500,40248,39977,39690,39601,39498,39377,-0.004964
14402,神奈川県,愛甲郡清川村*,3081,,3039,2979,2981,2936,2883,2860,2812,2764,2716,-0.012530
