code,prefecture,city_jp,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,cagr_10y
11107,埼玉県,さいたま市浦和区,153141,156143,158340,160112,162097,164449,166257,167699,168522,169635,169815,0.010389
11108,埼玉県,さいたま市南区,178712,180495,183273,186690,188854,191127,192083,192253,193471,194299,195507,0.009023
11109,埼玉県,さいたま市緑区,117843,119336,120856,123186,125294,127245,129440,131324,132308,133648,134711,0.013468
11110,埼玉県,さいたま市岩槻区,111157,111181,111740,111879,112168,111945,112902,112624,112253,112432,112135,0.000876
11201,埼玉県,川越市,349378,350223,351654,352433,353115,353301,353260,353235,353183,352717,352805,0.000977
11202,埼玉県,熊谷市,201627,200700,199718,198852,197731,196829,195410,193820,193132,192074,190927,-0.005438
11203,埼玉県,川口市,589205,592684,595495,600050,603838,607105,607373,605545,604715,606315,607447,0.003054
11206,埼玉県,行田市,84363,83585,82836,82051,81424,80936,80236,79324,78741,78416,77854,-0.007997
11207,埼玉県,秩父市,66073,65311,64540,63720,62895,62005,61159,60314,59244,58223,57212,-0.014296
11208,埼玉県,所沢市,343083,343390,343993,343965,344320,344233,344216,343637,344070,343529,342520,-0.000164
11209,埼玉県,飯能市,80823,80513,80293,80070,79708,79553,79123,78630,78445,78472,77963,-0.003596
11210,埼玉県,加須市,114963,114289,113917,113754,113321,113043,112792,112235,112179,112163,112018,-0.002592
11211,埼玉県,本庄市,79464,78993,78989,78707,78297,78243,77900,77720,77526,77285,76783,-0.003426
11212,埼玉県,東松山市,89402,89574,89953,90188,90290,90348,90456,90385,90651,91094,91256,0.002055
11214,埼玉県,春日部市,237723,236975,236466,235716,234598,234137,233391,232864,231726,230687,229656,-0.003446
11215,埼玉県,狭山市,154288,153738,153054,152487,151661,150719,149826,149692,149360,148872,148221,-0.004004
11216,埼玉県,羽生市,55886,55677,55441,55243,55112,54642,54304,54051,53951,53855,53696,-0.003990
11217,埼玉県,鴻巣市,119301,119192,119041,119029,118745,118395,117995,117660,117798,117582,117564,-0.001466
11218,埼玉県,深谷市,145695,145053,144696,144375,143675,143219,142803,142383,141681,141419,140809,-0.003405
11219,埼玉県,上尾市,227897,227890,228092,228480,228519,228779,229517,230507,230229,230167,230066,0.000948
11221,埼玉県,草加市,245389,245878,247040,247991,248488,249645,250225,250824,250966,251219,251992,0.002659
11222,埼玉県,越谷市,333736,336565,339156,340862,342945,344528,345482,345047,343866,343062,342327,0.002545
11223,埼玉県,蕨市,72317,73289,73900,74576,75261,75679,75749,75391,75282,75646,76342,0.005431
11224,埼玉県,戸田市,132880,135243,137320,138738,139616,140642,141033,141324,141887,142163,142070,0.006710
11225,埼玉県,入間市,149952,149593,149124,148723,148442,147727,147162,146309,145718,144723,143412,-0.004449
11227,埼玉県,朝霞市,134132,135928,136910,138442,140004,141802,143195,143585,144062,144964,145938,0.008471
11228,埼玉県,志木市,73443,74183,75421,76056,76303,76474,76457,76595,76416,76312,76153,0.003630
11229,埼玉県,和光市,79992,80615,81368,81724,82785,83810,84161,83746,83962,84728,84890,0.005961
11230,埼玉県,新座市,163153,164028,164767,165486,165336,165727,166208,166108,165730,166036,166412,0.001980
11231,埼玉県,桶川市,75207,75071,75266,75234,75408,75359,75202,74822,74680,74448,74172,-0.001385
11232,埼玉県,久喜市,154694,154527,154241,154116,153709,153066,152506,151669,150987,150913,150976,-0.002430
11233,埼玉県,北本市,68657,68154,67593,67084,66668,66171,66022,65817,65751,65403,65274,-0.005040
11234,埼玉県,八潮市,85572,86138,87109,88908,90876,92131,92518,92192,92365,93065,93655,0.009067
11235,埼玉県,富士見市,109164,110045,110398,110886,111167,111620,112211,112420,112839,113145,113404,0.003818
11237,埼玉県,三郷市,136798,137656,139164,140100,141827,142529,142926,143046,142410,141942,142152,0.003847
11238,埼玉県,蓮田市,62773,62481,62347,62227,61961,61570,61540,61563,61211,61337,61111,-0.002680
11239,埼玉県,坂戸市,101219,101408,101545,101364,101226,101026,100612,99992,99763,99527,99632,-0.001579
