indicator,coeff,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10
St. Density,0.3,0,0.0367,0.0566,0.0149,0.0978,0.1401,0.1568,0.2655,0.3462,0.3906
ETA,0.7,142,128,114,100,86,72,58,44,30,16
